METRICS PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         1645824 function calls (1598299 primitive calls) in 2.390 seconds

   Ordered by: cumulative time
   List reduced from 962 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    56151    0.028    0.000    0.062    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
    12000    0.026    0.000    0.070    0.000 /usr/lib/python3.12/copy.py:61(copy)
    27665    0.025    0.000    0.031    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
     4235    0.024    0.000    0.030    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:1752(normalize_kwargs)
      945    0.023    0.000    0.158    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:301(__init__)
     8804    0.023    0.000    0.035    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:700(__hash__)
    98901    0.021    0.000    0.021    0.000 {method 'get' of 'dict' objects}
    86508    0.020    0.000    0.033    0.000 {built-in method builtins.isinstance}
65310/58345    0.020    0.000    0.033    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:315(stale)
    12320    0.019    0.000    0.029    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:2020(_setattr_cm)
     4165    0.018    0.000    0.019    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:180(set_children)
    56151    0.018    0.000    0.034    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/__init__.py:701(_get)
     2555    0.018    0.000    0.036    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:179(__init__)
    56151    0.017    0.000    0.017    0.000 {function RcParams.__getitem__ at 0x7c387f386480}
      315    0.016    0.000    0.357    0.001 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/axis.py:59(__init__)
     6435    0.015    0.000    0.052    0.000 /usr/lib/python3.12/copy.py:247(_reconstruct)
    70089    0.013    0.000    0.013    0.000 {method 'items' of 'dict' objects}
     6160    0.013    0.000    0.015    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
     9240    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
      210    0.011    0.000    0.072    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/ticker.py:2159(_raw_ticks)
     7246    0.011    0.000    0.011    0.000 {built-in method numpy.asarray}
    281/2    0.011    0.000    0.066    0.033 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:358(_get_layout)
 1575/525    0.011    0.000    0.084    0.000 /usr/lib/python3.12/copy.py:217(_deepcopy_dict)
     6435    0.010    0.000    0.011    0.000 {method '__reduce_ex__' of 'object' objects}
     3150    0.010    0.000    0.024    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:750(__init__)
    13720    0.010    0.000    0.010    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:109(__init__)
  980/875    0.010    0.000    0.019    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:2432(get_affine)
     7665    0.010    0.000    0.016    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/transforms.py:1770(__init__)
      315    0.010    0.000    0.030    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/lines.py:686(recache)
     4025    0.010    0.000    0.023    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
     2345    0.010    0.000    0.010    0.000 {built-in method matplotlib._path.affine_transform}
     1485    0.009    0.000    0.045    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/font_manager.py:1293(findfont)
     1050    0.009    0.000    0.088    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
    13271    0.008    0.000    0.037    0.000 {built-in method builtins.next}
     3360    0.008    0.000    0.015    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
     1750    0.008    0.000    0.021    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:41(_wrapit)
     2800    0.007    0.000    0.009    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:259(__init__)
     2100    0.007    0.000    0.119    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/markers.py:299(_set_marker)
