PROFILING RESULTS - Sorted by Total Time (cumulative)
================================================================================

         50025960 function calls (49158753 primitive calls) in 40.345 seconds

   Ordered by: cumulative time
   List reduced from 2736 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   295534    0.289    0.000    0.336    0.000 {built-in method numpy.array}
    28465    0.280    0.000    0.904    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:90(_assert_all_finite)
  1885630    0.278    0.000    0.278    0.000 {method 'get' of 'dict' objects}
    31840    0.269    0.000    0.324    0.000 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:141(validate_constraints)
    85332    0.267    0.000    3.200    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:723(_accumulate_prediction)
    66941    0.263    0.000    0.263    0.000 {method 'round' of 'numpy.generic' objects}
284440/199108    0.249    0.000    1.552    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/base.py:515(__sklearn_tags__)
     4313    0.246    0.000    0.347    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:248(_prepare_font)
422629/422137    0.244    0.000    0.257    0.000 {built-in method numpy.asarray}
    56888    0.241    0.000    0.543    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:141(_get_active_backend)
   113797    0.238    0.000    0.333    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:328(_num_features)
   142220    0.226    0.000    6.615    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1888(_get_sequential_output)
    28444    0.218    0.000    0.893    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/ensemble/_base.py:165(_partition_estimators)
   277880    0.208    0.000    1.058    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   554392    0.205    0.000    0.454    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
    43182    0.196    0.000    0.242    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:1752(normalize_kwargs)
805606/702060    0.195    0.000    0.354    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/artist.py:315(stale)
149414/149234    0.192    0.000    0.680    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/matplotlib/cbook.py:348(process)
   154610    0.183    0.000    0.211    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
56888/28444    0.182    0.000    0.404    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/joblib/parallel.py:1376(_initialize_backend)
   142235    0.182    0.000    2.999    0.000 /home/rafael/gitgud/CounterFactualDPG/.venv/lib/python3.12/site-packages/sklearn/utils/validation.py:1670(check_is_fitted)
    31840    0.181    0.000   17.337    0.001 /home/rafael/gitgud/CounterFactualDPG/CounterFactualModel.py:294(calculate_fitness)


